Unnamed: 0,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
42,42 Coin,Scrypt,PoW/PoS,41.99995383,42
365,365Coin,X11,PoW/PoS,,2300000000
404,404Coin,Scrypt,PoW/PoS,1055184902.04,532000000
611,SixEleven,SHA-256,PoW,,611000
808,808,SHA-256,PoW/PoS,0.0,0
1337,EliteCoin,X13,PoW/PoS,29279424622.5027,314159265359
2015,2015 coin,X11,PoW/PoS,,0
BTC,Bitcoin,SHA-256,PoW,17927175.0,21000000
ETH,Ethereum,Ethash,PoW,107684222.6865,0
LTC,Litecoin,Scrypt,PoW,63039243.3000049,84000000
DASH,Dash,X11,PoW/PoS,9031294.37563393,22000000
XMR,Monero,CryptoNight-V7,PoW,17201143.1449131,0
ETC,Ethereum Classic,Ethash,PoW,113359703.0,210000000
ZEC,ZCash,Equihash,PoW,7383056.25,21000000
BTS,Bitshares,SHA-512,PoS,2741570000.0,3600570502
DGB,DigiByte,Multiple,PoW,11406219141.0,21000000000
BTCD,BitcoinDark,SHA-256,PoW/PoS,1288862.0,22000000
CRAIG,CraigsCoin,X11,PoS,,30000000
XBS,Bitstake,X11,PoW/PoS,0.0,1300000
XPY,PayCoin,SHA-256,PoS,11995334.8847328,12500000
PRC,ProsperCoin,Scrypt,PoW,5768310.0,21000000
YBC,YbCoin,Multiple,PoS,,200000000
DANK,DarkKush,X13,PoW/PoS,,3000000
GIVE,GiveCoin,X11,PoW,,500000000
KOBO,KoboCoin,X15,PoW/PoS,25542535.5881841,350000000
DT,DarkToken,NIST5,PoW/PoS,,0
CETI,CETUS Coin,Scrypt,PoW/PoS,,0
SPR,Spreadcoin,X11,PoW,11149733.9976203,20000000
WOLF,Insanity Coin,X11,PoW,,50000000
ACOIN,ACoin,SHA-256,PoW,0.0,1600000
AERO,Aero Coin,X13,PoS,0.0,7000000
ALF,AlphaCoin,Scrypt,PoW,,210182000
AGS,Aegis,X13,PoS,,0
AMC,AmericanCoin,Scrypt,PoW,,168000000
ALN,AlienCoin,Scrypt,PoW,,200000000
APEX,ApexCoin,X13,PoW/PoS,0.0,6000000
ARCH,ArchCoin,Scrypt,PoS,0.0,16403135
ARG,Argentum,Scrypt,PoW,12205795.4449549,64000000
ARI,AriCoin,Scrypt,PoW,,322649400
AUR,Aurora Coin,Scrypt,PoW/PoS,18135099.992959,16768584
BET,BetaCoin,SHA-256,PoW,0.0,32000000
BEAN,BeanCash,SHA-256,PoW/PoS,,50000000000
BLU,BlueCoin,Scrypt,PoW/PoS,635423900.0,0
BQC,BQCoin,Scrypt,PoW,,88000000
XMY,MyriadCoin,Multiple,PoW,1688254250.0,2000000000
MOON,MoonCoin,Scrypt,PoW,88.0,384000000000
ZET,ZetaCoin,SHA-256,PoW,170204389.754849,169795588
SXC,SexCoin,Scrypt,PoW,128940951.183046,250000000
QTL,Quatloo,Scrypt,PoW,7357794.7925,100000000
ENRG,EnergyCoin,Scrypt,PoW/PoS,123062801.128773,0
QRK,QuarkCoin,Quark,PoW,259557164.91477,247000000
RIC,Riecoin,Groestl,PoW,49548585.1412917,84000000
DGC,Digitalcoin ,Scrypt,PoW,33442988.3440364,48166000
LIMX,LimeCoinX,X11,PoW,0.0,21000000 
BTB,BitBar,Scrypt,PoW/PoS,42579.476901,500000
CAIX,CAIx,Scrypt,PoS,,0
BTMK,BitMark,Scrypt,PoW,0.0,27580000
BUK,CryptoBuk,Scrypt,PoW/PoS,,100000000
CACH,Cachecoin,Scrypt,PoW,,2000000000
CAP,BottleCaps,Scrypt,PoW/PoS,,47433600
CASH,CashCoin,Scrypt,PoW/PoS,0.0,47433600
CAT,Catcoin,Scrypt,PoW,7219956.64626131,21000000 
CBX,CryptoBullion,Scrypt,PoW/PoS,1039116.65144562,1000000
CCN,CannaCoin,Scrypt,PoW,4703879.51824446,13140000
CIN,CinderCoin,Multiple,PoW/PoS,0.0,114000000
CINNI,CINNICOIN,Scrypt,PoW,,15000000
